"date","precip_in","snowfall_in","temp_min_degF","temp_max_degF","windspeed_avg_mph"
2014-12-28,0.09842525,0,42.98,53.96,5.816044
2014-12-29,0,0,33.98,44.06,5.144962
2014-12-30,0,0,28.22,33.98,4.250186
2014-12-31,0,0,27.14,32,5.59235
2015-01-01,0,0,27.14,39.02,7.158208
2015-01-02,0,0,35.06,42.08,7.158208
2015-01-03,0.7086618,0,33.08,42.08,6.487126
2015-01-04,0.29921276,0,41,55.94,6.487126
2015-01-05,0,0,21.2,48.92,10.513618
2015-01-06,0.05118113,0.9842525,19.22,22.1,4.026492
2015-01-07,0,0,9.14,23.18,12.750558
2015-01-08,0,0,8.24,21.2,8.724066
2015-01-09,0.07086618,1.4960638,19.22,33.08,8.724066
2015-01-10,0,0,16.16,23.18,8.052984
2015-01-11,0,0,18.14,37.04,6.039738
2015-01-12,0.35826791,0,35.06,39.02,3.802798
2015-01-13,0,0,17.24,35.96,8.500372
2015-01-14,0,0,16.16,32,6.263432
2015-01-15,0,0,25.16,35.06,4.697574
2015-01-16,0,0,20.12,42.98,9.842536
2015-01-17,0,0,17.24,32,6.039738
2015-01-18,2.09842633,0,31.1,42.08,3.802798
2015-01-19,0,0,35.96,42.08,7.605596
2015-01-20,0,0,32,39.92,5.816044
2015-01-21,0,0,25.16,35.96,4.250186
2015-01-22,0,0,31.1,39.92,5.59235
2015-01-23,0,0,28.22,39.02,5.59235
2015-01-24,0.72047283,3.5826791,33.08,39.02,6.039738
2015-01-25,0,0,31.1,42.08,6.263432
2015-01-26,0.48031522,5.511814,22.1,31.1,12.750558
2015-01-27,0.35826791,4.2913409,20.12,30.2,8.276678
2015-01-28,0,0,16.16,33.98,7.605596
2015-01-29,0.01968505,0,19.22,35.96,3.802798
2015-01-30,0.05905515,0.9842525,19.22,37.94,10.513618
2015-01-31,0,0,13.1,26.24,12.30317
2015-02-01,0.03149608,0.3149608,20.12,35.96,3.802798
2015-02-02,1.01968559,5.0000027,14.18,33.98,9.842536
2015-02-03,0,0,13.1,26.24,7.158208
2015-02-04,0,0,24.26,42.98,4.250186
2015-02-05,0,0,14.18,42.08,8.500372
2015-02-06,0,0,12.2,27.14,7.158208
2015-02-07,0.01968505,0,25.16,39.92,3.802798
2015-02-08,0,0,29.12,37.04,8.500372
2015-02-09,0.09055123,0,25.16,29.12,10.961006
2015-02-10,0.01181103,0.1181103,26.24,39.92,10.513618
2015-02-11,0,0,22.1,33.98,6.487126
2015-02-12,0,0,16.16,39.92,7.381902
2015-02-13,0,0,8.24,21.2,9.171454
2015-02-14,0.01968505,0.9055123,16.16,32,5.368656
2015-02-15,0,0,4.1,25.16,14.54011
2015-02-16,0,0,3.2,21.2,6.934514
2015-02-17,0.14173236,3.3070884,14.18,27.14,4.697574
2015-02-18,0,0,19.22,33.08,4.250186
2015-02-19,0,0,8.24,27.14,11.408394
