"date","num_accidents","num_injuries","num_deaths"
2016-01-10,453,124,1
2016-01-11,675,141,1
2016-01-12,630,115,1
2016-01-13,597,131,0
2016-01-14,591,129,1
2016-01-15,712,142,1
2016-01-16,558,134,2
2016-01-17,451,115,0
2016-01-18,478,123,1
2016-01-19,659,163,1
2016-01-20,617,132,0
2016-01-21,663,145,1
2016-01-22,697,138,1
2016-01-23,400,41,0
2016-01-24,509,55,0
2016-01-25,654,74,0
2016-01-26,732,102,0
2016-01-27,665,105,0
2016-01-28,681,123,1
2016-01-29,643,109,0
2016-01-30,594,101,1
2016-01-31,531,99,0
2016-02-01,713,150,0
2016-02-02,707,145,0
2016-02-03,579,133,1
2016-02-04,607,123,0
2016-02-05,607,135,1
2016-02-06,551,134,1
2016-02-07,421,103,0
2016-02-08,496,88,0
2016-02-09,568,100,0
2016-02-10,533,107,3
2016-02-11,617,150,1
2016-02-12,626,144,1
2016-02-13,477,109,0
2016-02-14,304,53,0
2016-02-15,287,65,1
2016-02-16,610,129,1
2016-02-17,521,84,0
2016-02-18,591,117,0
2016-02-19,531,99,0
2016-02-20,553,140,2
2016-02-21,480,112,0
2016-02-22,614,103,1
2016-02-23,616,139,0
2016-02-24,653,145,0
2016-02-25,662,151,0
2016-02-26,472,115,0
2016-02-27,385,110,0
2016-02-28,507,117,5
2016-02-29,610,149,1
2016-03-01,654,122,0
2016-03-02,645,125,0
2016-03-03,611,118,1
2016-03-04,670,125,0
2016-03-05,592,143,0
2016-03-06,491,119,1
2016-03-07,553,112,0
